zip,lat,lng,population,density
1378,42.67711,-72.34057,861,8.9
1379,42.54149,-72.3989,742,13.3
1380,42.58675,-72.40264,32,1.9
1420,42.58559,-71.81693,41677,535.3
1430,42.66069,-71.9232,6450,67.8
1431,42.67652,-71.82322,3188,52.0
1432,42.56351,-71.57059,8124,368.2
1434,42.53149,-71.61663,1889,112.0
1436,42.60579,-72.08958,3720,159.7
1438,42.56028,-72.03583,192,228.3
1440,42.58797,-71.98649,21298,335.5
1450,42.61368,-71.56139,11228,132.3
1451,42.50005,-71.57754,5359,98.3
1452,42.48378,-72.00514,4339,40.8
1453,42.51961,-71.76583,43635,639.2
1460,42.53503,-71.4891,10150,237.3
1462,42.58994,-71.72036,11822,171.5
1463,42.67126,-71.60429,11693,200.0
1464,42.57411,-71.6475,7017,179.1
1468,42.55324,-72.06879,4157,73.1
1469,42.66514,-71.69161,6803,121.5
1473,42.55122,-71.90266,8289,90.3
1474,42.67088,-71.7508,2249,78.3
1475,42.66675,-72.04902,10194,92.0
1501,42.19689,-71.84549,16780,424.7
1503,42.38378,-71.63552,3311,98.5
1504,42.0399,-71.53125,9211,320.1
1505,42.35633,-71.72123,4896,117.7
1506,42.19364,-72.10441,3442,85.6
1507,42.13509,-71.96803,13359,122.3
1510,42.4119,-71.68883,15430,1053.9
1515,42.20328,-72.04669,2120,83.0
1516,42.0528,-71.75106,9287,97.8
1518,42.11342,-72.11632,2835,89.4
1519,42.20077,-71.67892,7738,279.8
1520,42.33685,-71.85181,16864,345.9
1521,42.06012,-72.16592,2576,81.0
1522,42.38142,-71.87111,3021,74.4
1523,42.48176,-71.68079,8470,119.2
1524,42.24919,-71.91989,6110,148.4
1525,42.09899,-71.64296,0,0.0
1527,42.19228,-71.77397,13899,344.5
1529,42.03906,-71.57767,3156,250.6
1531,42.31929,-72.12794,925,17.2
1532,42.32314,-71.64621,15694,328.0
1534,42.13991,-71.64433,6097,247.4
1535,42.2695,-72.07794,4739,86.0
1536,42.23189,-71.69219,7119,321.0
1537,42.16177,-71.89217,1821,103.2
1540,42.11649,-71.85819,11521,232.9
1541,42.45649,-71.88128,3500,38.1
1542,42.20241,-71.90995,2572,235.7
1543,42.38482,-71.96726,9202,101.1
1545,42.28419,-71.71558,38440,715.2
1550,42.06039,-72.03377,17806,339.7
1560,42.17496,-71.67762,4914,532.7
1561,42.44581,-71.68845,0,0.0
1562,42.24715,-71.99189,11961,140.6
1564,42.44124,-71.77297,8111,102.3
1566,42.1047,-72.07745,7054,109.0
1568,42.17694,-71.60516,7926,144.2
1569,42.05895,-71.63741,14127,185.6
1570,42.05206,-71.8485,17674,552.2
1571,42.05501,-71.93519,11886,220.3
1581,42.26815,-71.61402,21591,404.6
1583,42.37034,-71.78502,7516,230.7
1585,42.23762,-72.16311,4942,68.0
1588,42.11837,-71.66836,10357,494.1
1590,42.13387,-71.75179,9287,110.4
1602,42.27219,-71.84946,25791,1708.4
1603,42.24373,-71.84429,21034,1792.8
1604,42.25085,-71.7683,39988,2327.5
1605,42.28979,-71.78802,31086,2122.8
1606,42.31367,-71.79614,22269,1435.8
1607,42.22684,-71.79037,8755,1117.0
1608,42.2621,-71.80145,4951,3970.0
1609,42.28592,-71.82853,23184,2397.3
1610,42.24645,-71.80968,28719,5200.0
1611,42.23945,-71.87702,2401,271.3
1612,42.31037,-71.93095,4996,126.4
1701,42.32195,-71.43796,32270,737.7
1702,42.28242,-71.43428,39761,1869.7
1718,42.52165,-71.42983,528,1478.9
1719,42.48837,-71.51779,5468,205.3
1720,42.48397,-71.43809,23322,458.9
1721,42.25726,-71.46867,18694,585.0
1730,42.4995,-71.27799,14478,449.2
1731,42.46422,-71.28202,1745,288.3
1740,42.43616,-71.60728,5698,110.3
1741,42.53001,-71.35128,5209,131.7
1742,42.46221,-71.36504,18337,293.5
1745,42.29155,-71.50101,660,653.6
1746,42.19775,-71.44499,14964,309.7
1747,42.12477,-71.535,6024,449.4
1748,42.2255,-71.53781,19050,280.5
1749,42.38868,-71.54648,19959,668.5
1752,42.3494,-71.54681,41398,766.2
1754,42.4264,-71.45607,10663,792.2
1756,42.09301,-71.55146,6266,136.1
1757,42.15723,-71.51978,30473,777.4
1760,42.28436,-71.34966,36520,954.0
1770,42.23416,-71.37532,4404,107.7
1772,42.30144,-71.5304,9781,277.4
1773,42.42572,-71.31013,5257,146.4
1775,42.42983,-71.51146,7109,158.3
1776,42.38456,-71.42316,19067,301.6
1778,42.3583,-71.35895,13915,357.4
1801,42.48694,-71.15415,41205,1252.2
1803,42.5028,-71.20147,26068,893.0
1810,42.64669,-71.16517,35608,450.4
1821,42.54999,-71.25206,30203,702.8
1824,42.59156,-71.35553,26628,569.2
1826,42.68323,-71.30063,32373,601.4
1827,42.67643,-71.50052,3375,79.2
1830,42.7959,-71.05323,26685,742.9
1832,42.79099,-71.13133,26065,886.1
1833,42.72409,-70.9821,8380,252.3
1834,42.75198,-71.01486,6747,293.4
1835,42.75292,-71.08602,14637,723.5
1840,42.70695,-71.16014,7092,5363.9
1841,42.71077,-71.16494,52761,6693.4
1843,42.68985,-71.16095,28444,3254.6
1844,42.73426,-71.18858,53015,926.3
1845,42.67132,-71.08669,31881,466.1
1850,42.65569,-71.30292,16983,4818.3
1851,42.62915,-71.33674,32308,3863.5
1852,42.63231,-71.29538,36700,2849.5
1854,42.64939,-71.34827,28808,2808.6
1860,42.83858,-71.01194,6707,304.7
1862,42.57427,-71.29437,11703,496.2
1863,42.63274,-71.39132,9592,831.3
1864,42.58156,-71.08759,15634,458.8
1867,42.53505,-71.1055,25474,987.0
1876,42.61206,-71.22733,30962,573.9
1879,42.66626,-71.42911,12435,286.4
1880,42.50348,-71.06559,27258,1425.0
1886,42.58642,-71.44008,24584,313.9
1887,42.56091,-71.16541,23195,527.6
1890,42.45177,-71.14628,22862,1463.4
1901,42.46125,-70.94639,1934,2752.9
1902,42.4712,-70.93983,51680,8420.1
1904,42.49151,-70.97166,20103,1828.1
1905,42.46355,-70.9733,27188,3441.7
1906,42.46922,-71.01299,28599,953.7
1907,42.47572,-70.90684,15279,1951.5
1908,42.42856,-70.92614,3328,1194.4
1913,42.85297,-70.94459,17277,542.7
1915,42.56841,-70.8647,41656,1131.9
1921,42.6815,-71.01887,8229,134.7
1922,42.75862,-70.91758,3791,161.4
1923,42.57398,-70.94923,27778,812.2
1929,42.63478,-70.77684,3605,99.9
1930,42.62605,-70.68966,29862,440.1
1937,42.58579,-70.98406,146,771.6
1938,42.68568,-70.83989,13820,166.2
1940,42.53523,-71.03695,13183,505.1
1944,42.58154,-70.76825,5368,224.6
1945,42.49924,-70.86348,20390,1777.1
1949,42.6043,-71.01641,9727,279.3
1950,42.81237,-70.88785,18444,852.8
1951,42.77742,-70.85022,2938,79.3
1952,42.84655,-70.86163,9217,231.5
1960,42.53374,-70.97222,53961,1300.9
1965,42.56294,-70.82996,752,330.2
1966,42.65432,-70.62227,6977,385.5
1969,42.72235,-70.88832,6214,131.8
1970,42.51298,-70.90266,44115,2066.5
1982,42.62669,-70.85789,7646,207.9
1983,42.63728,-70.94251,6535,212.1
1984,42.60078,-70.8826,4930,248.5
1985,42.7939,-70.96906,4536,130.2
2019,42.0777,-71.47407,17160,361.2
2021,42.17504,-71.12645,24459,503.8
2025,42.23603,-70.81906,8358,330.2
2026,42.24665,-71.1777,25109,943.9
2030,42.2366,-71.28421,5893,150.7
2032,42.15489,-71.2155,4914,811.4
2035,42.06266,-71.24613,18516,360.0
2038,42.08622,-71.41126,33067,479.3
2043,42.21678,-70.88494,24185,421.0
2045,42.28437,-70.88266,10098,1458.3
2047,42.14582,-70.69603,142,95.1
2048,42.01626,-71.21868,23855,458.1
2050,42.11443,-70.71487,25903,347.7
2052,42.1848,-71.30501,12923,346.3
2053,42.15352,-71.42906,13251,443.5
2054,42.1693,-71.36261,8699,279.1
2056,42.11632,-71.32952,11556,299.5
2061,42.16075,-70.81772,11309,208.6
2062,42.18563,-71.19464,31380,1148.5
2066,42.20129,-70.76155,18895,442.2
2067,42.10778,-71.18183,18478,314.5
2071,42.10392,-71.27002,1677,673.1
2072,42.1192,-71.10189,29074,697.8
2081,42.14689,-71.25916,19703,429.2
2090,42.22024,-71.21057,16213,574.8
2093,42.05129,-71.35522,12305,218.9
2108,42.35657,-71.06516,4178,5890.1
2109,42.36498,-71.05277,3714,8456.3
2110,42.35797,-71.05189,2178,4701.0
2111,42.35067,-71.06054,8067,15890.8
2113,42.36526,-71.05524,6522,25874.3
2114,42.36337,-71.06686,13853,12062.5
2115,42.34046,-71.09481,28621,15548.9
2116,42.35105,-71.07638,22040,13104.0
2118,42.33806,-71.07057,28522,10124.7
2119,42.32405,-71.08522,26851,6418.6
2120,42.33212,-71.09654,15248,9510.7
2121,42.3057,-71.08693,28298,5794.2
2122,42.29427,-71.05185,23471,5339.0
2124,42.28583,-71.07114,55897,7272.0
2125,42.31578,-71.0562,33069,5889.5
2126,42.27588,-71.0918,25313,5345.6
2127,42.33455,-71.03875,36646,6876.2
2128,42.37324,-71.01616,44124,3390.5
2129,42.37975,-71.06167,19994,5702.9
2130,42.30823,-71.11515,41109,4483.2
2131,42.28392,-71.12468,31564,4371.8
2132,42.27931,-71.16072,27069,2148.7
2133,42.35838,-71.06383,80,2377.1
2134,42.35855,-71.12931,17637,5516.9
2135,42.34989,-71.15417,43683,6487.7
2136,42.25505,-71.12662,38071,3196.6
2138,42.37997,-71.13446,38077,5369.0
2139,42.36224,-71.10253,39609,9854.9
2140,42.39332,-71.13342,21361,7119.9
2141,42.37041,-71.08218,14677,9308.6
2142,42.36295,-71.08189,4349,5352.7
2143,42.38142,-71.09677,25161,6289.6
2144,42.40088,-71.122,25009,8843.5
2145,42.39206,-71.0895,27929,7754.0
2148,42.43048,-71.05762,65509,5012.5
2149,42.40643,-71.05446,49236,5560.0
2150,42.39587,-71.03251,39444,6878.1
2151,42.41887,-71.004,59949,4057.0
2152,42.37724,-70.98115,18807,4381.6
2155,42.42324,-71.10878,61276,2888.8
2163,42.36717,-71.12509,1852,3897.5
2169,42.23971,-71.01802,60928,1944.9
2170,42.26644,-71.01621,19685,3645.4
2171,42.28709,-71.02604,20513,3229.2
2176,42.45561,-71.05901,29488,2431.1
2180,42.47396,-71.09705,22986,1484.6
2184,42.20386,-71.0022,38762,1087.4
2186,42.23854,-71.08464,28716,809.5
2188,42.20724,-70.95764,15396,1539.3
2189,42.2111,-70.93135,15231,1466.5
2190,42.16625,-70.95253,19029,1050.2
2191,42.24434,-70.94378,8130,1750.4
2199,42.34748,-71.08199,1253,8447.9
2203,42.36144,-71.05945,0,0.0
2205,42.34935,-71.05564,0,0.0
2210,42.34815,-71.03942,6554,2742.4
2215,42.34741,-71.10276,24054,10502.4
2301,42.07791,-71.04223,68608,2128.2
2302,42.08792,-70.99864,36472,1585.5
2322,42.12666,-71.04922,4753,427.6
2324,41.97272,-70.97498,26022,372.3
2325,41.98875,-70.96449,2647,3353.4
2330,41.87388,-70.7563,11645,120.5
2332,42.04651,-70.71388,16110,262.4
2333,42.03521,-70.94235,14420,323.8
2338,41.99138,-70.86326,7734,186.9
2339,42.12241,-70.85665,14800,367.8
2341,42.05604,-70.87251,10466,271.1
2343,42.14733,-71.00484,11267,620.5
2346,41.88034,-70.87446,24360,136.2
2347,41.83101,-70.9594,11732,153.0
2350,42.02043,-70.84562,149,505.0
2351,42.11805,-70.95905,17008,659.1
2356,42.05519,-71.12071,12547,356.0
2357,42.06224,-71.07751,1410,1402.3
2359,42.06547,-70.8014,18335,324.9
2360,41.87817,-70.63089,62405,250.0
2364,41.98616,-70.74823,13782,285.4
2366,41.84868,-70.6613,251,2164.5
2367,41.96345,-70.80975,2934,77.2
2368,42.17506,-71.05011,34736,1438.5
2370,42.1295,-70.91002,17709,681.8
2375,42.01954,-71.10381,11205,313.9
2379,42.02139,-71.0267,7682,193.6
2382,42.08,-70.93993,15215,847.0
2420,42.45821,-71.21762,16287,893.5
2421,42.438,-71.23922,17798,718.1
2445,42.32581,-71.13319,22568,3337.1
2446,42.3435,-71.12179,31109,9352.5
2451,42.39859,-71.2573,18153,1317.5
2452,42.39365,-71.2202,16173,1637.5
2453,42.36918,-71.24101,30314,3258.5
2457,42.29777,-71.26887,1886,3595.8
2458,42.35294,-71.18763,13308,2614.1
2459,42.31515,-71.19174,18604,1427.0
2460,42.35206,-71.20835,10033,2874.0
2461,42.31693,-71.20875,6717,1689.4
2462,42.33102,-71.25599,1459,806.6
2464,42.31274,-71.21981,3730,2615.8
2465,42.34969,-71.22646,11297,2027.7
2466,42.34541,-71.24759,8553,2080.4
2467,42.31725,-71.16096,22325,1757.1
2468,42.32777,-71.23142,5901,1483.3
2472,42.37,-71.17713,35317,3383.4
2474,42.42053,-71.15666,28283,3570.5
2476,42.41597,-71.17437,17732,3284.6
2478,42.39602,-71.17955,26966,2241.3
2481,42.31064,-71.27779,17262,1094.5
2482,42.29455,-71.29859,10758,1116.3
2492,42.27615,-71.24387,21481,872.5
2493,42.35893,-71.30009,11443,262.7
2494,42.29959,-71.2317,10578,1458.4
2532,41.75111,-70.59713,13180,369.1
2534,41.66626,-70.61628,1284,181.0
2535,41.34896,-70.74629,2393,37.9
2536,41.59706,-70.56677,21100,297.7
2537,41.72882,-70.44317,6486,182.5
2538,41.77872,-70.65077,4556,280.8
2539,41.37994,-70.53227,5212,75.1
2540,41.57128,-70.62807,8354,293.1
2542,41.70194,-70.54824,854,11.6
2543,41.48731,-70.74525,810,27.6
2553,41.71297,-70.62011,38,74.2
